,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,32,ZA,1552787290,98,-34.42,19.24,64.99,2.8
1,Castro,44,CL,1552784400,87,-42.48,-73.76,53.6,2.24
2,Trairi,36,BR,1552787858,100,-3.28,-39.27,81.36,7.16
3,Mastic Beach,1,US,1552787909,38,40.77,-72.85,41.0,14.99
4,Esperance,20,TT,1552787706,83,10.24,-61.45,77.0,5.82
5,Ilulissat,8,GL,1552783800,59,69.22,-51.1,-0.41,8.05
6,Longyearbyen,20,NO,1552787400,53,78.22,15.63,-2.21,10.29
7,Mataura,24,NZ,1552787406,73,-46.19,168.86,64.0,2.13
8,Kampot,40,KH,1552784400,94,10.62,104.18,80.6,1.12
9,Ushuaia,20,AR,1552784400,93,-54.81,-68.31,46.4,2.24
10,Albany,20,US,1552787905,55,42.65,-73.75,33.8,16.11
11,Mahebourg,75,MU,1552784400,83,-20.41,57.7,77.0,6.93
12,Ancud,64,CL,1552784400,87,-41.87,-73.83,53.6,2.24
13,Bocana de Paiwas,64,NI,1552787929,86,12.79,-85.12,71.78,8.95
14,Kem,0,UG,1552787930,72,2.68,33.77,63.09,2.91
15,Bluff,68,AU,1552787730,100,-23.58,149.07,74.03,5.7
16,High Level,20,CA,1552784400,30,58.52,-117.13,42.8,8.05
17,Fowa,12,NG,1552787933,80,8.92,6.4,75.15,1.57
18,Isangel,75,VU,1552784400,66,-19.55,169.27,87.8,13.87
19,Busselton,76,AU,1552787752,39,-33.64,115.35,75.99,19.69
20,Rikitea,80,PF,1552787937,100,-23.12,-134.97,77.76,24.72
21,Khanpur,0,PK,1552787938,66,28.65,70.66,65.21,3.91
22,Jamestown,0,AU,1552787940,85,-33.21,138.6,76.28,5.93
23,Avera,1,US,1552787829,75,33.19,-82.53,53.6,3.36
24,Cape Town,75,ZA,1552787889,100,-33.93,18.42,64.0,5.82
25,Kokopo,44,PG,1552787944,98,-4.34,152.27,82.94,7.61
26,Provideniya,0,RU,1552787945,100,64.42,-173.23,18.23,9.62
27,Jieshi,20,CN,1552787946,87,22.82,115.83,69.89,14.88
28,Lebu,0,ET,1552784400,51,8.96,38.73,60.8,9.17
29,Hithadhoo,76,MV,1552787868,100,-0.6,73.08,80.51,0.34
30,Lake City,1,US,1552787764,43,38.03,-107.32,33.8,1.01
31,Huarmey,56,PE,1552787952,82,-10.07,-78.15,68.67,3.13
32,Manacapuru,0,BR,1552784400,88,-3.3,-60.62,78.8,3.36
33,Chuy,92,UY,1552787954,95,-33.69,-53.46,71.73,16.44
34,Bandrele,0,YT,1552786200,94,-12.91,45.19,78.8,2.24
35,Mar del Plata,32,AR,1552787792,43,-46.43,-67.52,69.57,12.64
36,Nuevo Imperial,12,PE,1552787959,91,-13.08,-76.32,65.7,0.67
37,Luanda,75,AO,1552784400,83,-8.83,13.24,78.8,2.24
38,Yurgamysh,0,RU,1552787961,54,55.37,64.47,6.89,2.91
39,Namibe,8,AO,1552787963,100,-15.19,12.15,77.94,2.57
40,Hirara,75,JP,1552784400,60,24.8,125.28,69.8,10.29
41,Atuona,0,PF,1552787856,100,-9.8,-139.03,82.31,12.3
42,Upernavik,32,GL,1552787757,100,72.79,-56.15,-11.61,13.76
43,Qaanaaq,0,GL,1552787968,77,77.48,-69.36,-26.15,6.15
44,Rawson,48,AR,1552787969,95,-43.3,-65.11,63.09,13.76
45,Sitka,0,US,1552787205,31,37.17,-99.65,53.01,1.01
46,Butaritari,92,KI,1552787959,100,3.07,172.79,76.23,3.02
47,Bathsheba,20,BB,1552784400,74,13.22,-59.52,78.8,18.34
48,Hasaki,20,JP,1552787375,34,35.73,140.83,55.0,5.82
49,Port Elizabeth,1,US,1552787803,38,39.31,-74.98,44.6,17.22
50,Zolotukhino,92,RU,1552787119,90,52.08,36.38,32.0,7.0
51,Zmeinogorsk,64,RU,1552787978,89,51.15,82.2,18.54,5.37
52,Bethel,90,US,1552787640,85,60.79,-161.76,26.6,17.22
53,Ribeira Grande,80,PT,1552787953,94,38.52,-28.7,62.06,6.38
54,Tasiilaq,88,GL,1552783800,78,65.61,-37.64,15.8,2.24
55,Hakodate,20,JP,1552784400,52,41.8,140.75,41.0,12.75
56,Saskylakh,48,RU,1552787879,71,71.97,114.09,-5.94,5.7
57,Punta Arenas,90,CL,1552787586,100,-53.16,-70.91,50.0,3.36
58,Murdochville,68,CA,1552788054,70,48.96,-65.49,25.34,21.81
59,Sainte-Marie,90,CA,1552788033,53,46.45,-71.03,26.01,13.87
60,Chokurdakh,64,RU,1552788057,92,70.62,147.9,-7.52,4.92
61,Arraial do Cabo,92,BR,1552788059,100,-22.97,-42.02,77.76,3.91
62,Tiarei,75,PF,1552787582,83,-17.53,-149.33,82.4,9.17
63,Hobart,20,AU,1552787244,49,-42.88,147.33,72.0,6.93
64,Bambous Virieux,75,MU,1552784400,83,-20.34,57.76,77.0,6.93
65,Leningradskiy,64,RU,1552788065,88,69.38,178.42,-6.57,21.59
66,Kruisfontein,8,ZA,1552788066,84,-34.0,24.73,62.51,3.13
67,Tual,64,ID,1552788068,98,-5.67,132.75,84.29,11.18
68,Caravelas,0,BR,1552787909,100,-17.73,-39.27,83.16,14.65
69,Carnduff,0,CA,1552787811,80,49.17,-101.8,23.99,10.4
70,Porto Nacional,36,BR,1552788071,91,-10.7,-48.41,77.04,2.46
71,Nador,0,MA,1552786200,71,35.17,-2.93,55.4,3.36
72,Beringovskiy,32,RU,1552788074,95,63.05,179.32,4.23,15.99
73,Lumeje,48,AO,1552788075,94,-11.56,20.78,65.34,2.91
74,Barrow,12,AR,1552787854,94,-38.31,-60.23,65.43,8.61
75,Waipawa,44,NZ,1552787957,76,-39.94,176.59,64.99,6.93
76,Gizo,40,IL,1552788073,71,31.8,34.94,57.2,13.87
77,Geraldton,90,CA,1552784400,72,49.72,-86.95,17.6,6.93
78,Flinders,90,AU,1552788016,100,-34.58,150.85,68.0,14.99
